adj_edge_jaccard,division_fn,division_fp,division_tp,edge_fn,edge_fp,edge_jaccard,edge_tp,embryo,node_recall,num_pred_nodes,reclaimed,safe_divs,stem,total_node_ratio,variant
0.9435796643093203,1,0,0,28,35,0.9220297029702971,745,44b6,0.9923857868020305,44959,0,24,44b6_12dfb391,-0.23372307062994274,baseline
0.8027032190614303,1,0,0,24,33,0.8161290322580645,253,44b6,0.9892857142857143,22277,0,29,44b6_267148e4,0.16450601150026137,baseline
0.8940339678137111,1,1,0,11,19,0.868995633187773,199,44b6,1.0,40126,0,40,44b6_2a2eff9f,-0.28812957936381217,baseline
0.9774175677101697,0,0,1,2,0,0.9904306220095693,207,44b6,0.9907407407407407,8413,0,11,44b6_341df25f,0.13138784292630445,baseline
0.8976967183498187,0,2,1,16,23,0.9010152284263959,355,44b6,0.9921259842519685,18805,0,45,44b6_587a1e22,0.03683078789215416,baseline
0.9025228004995157,0,0,1,16,19,0.8801369863013698,257,44b6,0.9892086330935251,22011,0,16,44b6_5f15d135,-0.25434465937192996,baseline
0.8539967028879444,1,0,0,12,13,0.8076923076923077,105,44b6,0.9830508474576272,29826,0,3,44b6_706092f0,-0.5732925119459784,baseline
0.956113205822536,1,0,0,6,6,0.9172413793103448,133,44b6,1.0,8695,0,9,44b6_74d0c52e,-0.42379058979456596,baseline
0.9436457367355691,1,0,0,19,27,0.9138576779026217,488,44b6,1.0,45065,0,62,44b6_7a302da0,-0.32595949624577464,baseline
0.9536033965967834,0,0,1,7,2,0.9762532981530343,370,44b6,0.9868421052631579,9330,0,10,44b6_996155de,0.23200845107619172,baseline
0.9551353725500896,1,1,0,9,13,0.9055793991416309,211,44b6,0.9954954954954955,26205,0,18,44b6_9be80b04,-0.5472294693919865,baseline
0.9306313144509477,1,0,1,9,13,0.9264214046822743,277,44b6,0.9966216216216216,21993,0,37,44b6_a21120c2,-0.04544270833333333,baseline
1.0148809395671816,1,0,0,3,0,0.9854368932038835,203,44b6,0.9904306220095693,15496,0,12,44b6_aaf8b0ea,-0.2987918005339608,baseline
0.8221689373118916,2,2,0,31,39,0.8076923076923077,294,44b6,0.987987987987988,38640,0,50,44b6_c50204e0,-0.17923446195675263,baseline
0.855606377557862,1,0,0,12,16,0.8444444444444444,152,44b6,0.9821428571428571,28763,0,28,44b6_c8e2a523,-0.1321807868694183,baseline
0.9925530138055746,2,0,0,6,6,0.9581881533101045,275,44b6,1.0,15440,0,15,44b6_d2f34f90,-0.3586441804436321,baseline
0.867678300903572,2,1,0,57,73,0.865424430641822,836,44b6,0.9922737306843267,43680,0,68,44b6_d5e7d891,-0.026043524794862646,baseline
0.8969235700680559,1,0,0,4,3,0.9041095890410958,66,44b6,0.9861111111111112,5582,0,11,44b6_d754aa59,0.07948172500483465,baseline
0.9192918061993764,0,2,1,3,6,0.9307692307692308,121,44b6,0.9920634920634921,15714,0,27,44b6_deabac95,0.12331117306455072,baseline
0.982583572675746,2,0,0,17,7,0.9240506329113924,292,44b6,0.9678456591639871,27377,0,5,44b6_e28840c6,-0.6334386632032777,baseline
0.9851842557125876,0,0,1,10,6,0.9823008849557522,888,6bba,0.9935483870967742,5853,0,4,6bba_062c8d37,-0.02935323383084577,baseline
0.8127873953959807,2,0,0,39,18,0.8429752066115702,306,6bba,0.9220055710306406,29179,0,6,6bba_07e24132,0.35811030951826855,baseline
0.9967835534683405,1,0,0,5,1,0.9948674080410608,1163,6bba,0.996661101836394,8300,0,4,6bba_085bf656,-0.01926030958289023,baseline
0.8966766387318361,4,0,0,90,124,0.8927318295739348,1781,6bba,0.9943589743589744,29742,0,25,6bba_09961292,-0.044188064402095314,baseline
0.7699115044247787,1,0,0,24,28,0.7699115044247787,174,6bba,0.9569377990430622,22467,0,53,6bba_0e7c0d07,0.0,baseline
0.9154146690088446,3,1,0,56,34,0.9127906976744186,942,6bba,0.9739382239382239,8075,0,6,6bba_12665c0e,-0.028746692326196775,baseline
0.8646852907577448,1,0,0,104,98,0.8619275461380724,1261,6bba,0.9728789986091794,17336,0,10,6bba_1d0d8384,-0.03199508626947345,baseline
0.63897495553741,1,3,0,95,79,0.6710775047258979,355,6bba,0.8968421052631579,17739,0,35,6bba_207c6aaf,0.4783731977664805,baseline
0.8771828189612384,3,3,0,73,42,0.879074658254469,836,6bba,0.9474789915966386,9968,0,14,6bba_20852818,0.021520803443328552,baseline
0.9841982235924539,1,1,1,6,8,0.987719298245614,1126,6bba,1.0,12376,0,7,6bba_2312ac41,0.035648535564853555,baseline
0.9151847132726894,1,0,0,38,20,0.9077901430842608,571,6bba,0.9672386895475819,4691,0,7,6bba_268e1230,-0.08145682396710398,baseline
0.9631643662622973,1,0,0,27,18,0.953464322647363,922,6bba,0.9959432048681541,4971,0,3,6bba_2819ca14,-0.10173473075533068,baseline
0.6986568147970266,1,4,0,132,146,0.709508881922675,679,6bba,0.9419953596287703,44625,0,67,6bba_32db13fc,0.15295181501098049,baseline
0.9347108118446094,1,2,1,34,53,0.9312796208530806,1179,6bba,1.0,29357,0,63,6bba_337b1b3a,-0.03684383202099738,baseline
0.7930691241880469,0,1,1,92,123,0.7967863894139886,843,6bba,0.9759277833500501,54494,0,51,6bba_3abfe10a,0.04665322193412081,baseline
0.9840582777449121,1,0,1,6,6,0.9840425531914894,740,6bba,0.9986928104575163,6257,0,5,6bba_3c5691b6,-0.00015979546180888463,baseline
0.7758623323041657,1,0,0,54,67,0.7763401109057301,420,6bba,0.9721115537848606,23379,0,35,6bba_3db54e20,0.006154243415389912,baseline
0.9963643768680793,0,0,1,14,8,0.9814658803706824,1165,6bba,0.9942004971002486,8348,0,8,6bba_3fda6b25,-0.1517984149563097,baseline
0.7492063291572614,1,0,0,48,33,0.7460815047021944,238,6bba,0.9006849315068494,27108,0,12,6bba_474be664,-0.04188315130951119,baseline
0.9294749154686563,5,0,0,35,27,0.9343915343915344,883,6bba,0.9871657754010695,25226,0,33,6bba_48816121,0.052618401836010846,baseline
0.9435796643093203,1,0,0,28,35,0.9220297029702971,745,44b6,0.9923857868020305,44959,0,24,44b6_12dfb391,-0.23372307062994274,logit_gated
0.8027032190614303,1,0,0,24,33,0.8161290322580645,253,44b6,0.9892857142857143,22277,0,29,44b6_267148e4,0.16450601150026137,logit_gated
0.8940370511625969,1,1,0,11,19,0.868995633187773,199,44b6,1.0,40124,0,40,44b6_2a2eff9f,-0.28816506111732043,logit_gated
0.9774175677101697,0,0,1,2,0,0.9904306220095693,207,44b6,0.9907407407407407,8413,0,11,44b6_341df25f,0.13138784292630445,logit_gated
0.8977513644738341,0,2,1,16,23,0.9010152284263959,355,44b6,0.9921259842519685,18794,0,45,44b6_587a1e22,0.036224292881954015,logit_gated
0.9025228004995157,0,0,1,16,19,0.8801369863013698,257,44b6,0.9892086330935251,22011,0,16,44b6_5f15d135,-0.25434465937192996,logit_gated
0.8539967028879444,1,0,0,12,13,0.8076923076923077,105,44b6,0.9830508474576272,29826,0,3,44b6_706092f0,-0.5732925119459784,logit_gated
0.956113205822536,1,0,0,6,6,0.9172413793103448,133,44b6,1.0,8695,0,9,44b6_74d0c52e,-0.42379058979456596,logit_gated
0.9436457367355691,1,0,0,19,27,0.9138576779026217,488,44b6,1.0,45065,0,62,44b6_7a302da0,-0.32595949624577464,logit_gated
0.9536033965967834,0,0,1,7,2,0.9762532981530343,370,44b6,0.9868421052631579,9330,0,10,44b6_996155de,0.23200845107619172,logit_gated
0.9551353725500896,1,1,0,9,13,0.9055793991416309,211,44b6,0.9954954954954955,26205,0,18,44b6_9be80b04,-0.5472294693919865,logit_gated
0.9275292100694446,1,0,1,9,14,0.9233333333333333,277,44b6,0.9966216216216216,21993,0,37,44b6_a21120c2,-0.04544270833333333,logit_gated
1.0001491539819065,1,1,0,4,2,0.9711538461538461,202,44b6,0.9904306220095693,15501,0,12,44b6_aaf8b0ea,-0.29856554595230556,logit_gated
0.8221689373118916,2,2,0,31,39,0.8076923076923077,294,44b6,0.987987987987988,38640,0,50,44b6_c50204e0,-0.17923446195675263,logit_gated
0.855606377557862,1,0,0,12,16,0.8444444444444444,152,44b6,0.9821428571428571,28763,0,28,44b6_c8e2a523,-0.1321807868694183,logit_gated
0.9925530138055746,2,0,0,6,6,0.9581881533101045,275,44b6,1.0,15440,0,15,44b6_d2f34f90,-0.3586441804436321,logit_gated
0.867678300903572,2,1,0,57,73,0.865424430641822,836,44b6,0.9922737306843267,43680,0,68,44b6_d5e7d891,-0.026043524794862646,logit_gated
0.8969235700680559,1,0,0,4,3,0.9041095890410958,66,44b6,0.9861111111111112,5582,0,11,44b6_d754aa59,0.07948172500483465,logit_gated
0.9192918061993764,0,2,1,3,6,0.9307692307692308,121,44b6,0.9920634920634921,15714,0,27,44b6_deabac95,0.12331117306455072,logit_gated
0.982583572675746,2,0,0,17,7,0.9240506329113924,292,44b6,0.9678456591639871,27377,0,5,44b6_e28840c6,-0.6334386632032777,logit_gated
0.9851842557125876,0,0,1,10,6,0.9823008849557522,888,6bba,0.9935483870967742,5853,0,4,6bba_062c8d37,-0.02935323383084577,logit_gated
0.8127873953959807,2,0,0,39,18,0.8429752066115702,306,6bba,0.9220055710306406,29179,0,6,6bba_07e24132,0.35811030951826855,logit_gated
0.9967835534683405,1,0,0,5,1,0.9948674080410608,1163,6bba,0.996661101836394,8300,0,4,6bba_085bf656,-0.01926030958289023,logit_gated
0.8966766387318361,4,0,0,90,124,0.8927318295739348,1781,6bba,0.9943589743589744,29742,0,25,6bba_09961292,-0.044188064402095314,logit_gated
0.7699526266843287,1,0,0,24,28,0.7699115044247787,174,6bba,0.9569377990430622,22455,0,53,6bba_0e7c0d07,-0.0005341167044999333,logit_gated
0.9154146690088446,3,1,0,56,34,0.9127906976744186,942,6bba,0.9739382239382239,8075,0,6,6bba_12665c0e,-0.028746692326196775,logit_gated
0.8646852907577448,1,0,0,104,98,0.8619275461380724,1261,6bba,0.9728789986091794,17336,0,10,6bba_1d0d8384,-0.03199508626947345,logit_gated
0.640185135377443,1,2,0,95,78,0.6723484848484849,355,6bba,0.8968421052631579,17739,0,35,6bba_207c6aaf,0.4783731977664805,logit_gated
0.8771828189612384,3,3,0,73,42,0.879074658254469,836,6bba,0.9474789915966386,9968,0,14,6bba_20852818,0.021520803443328552,logit_gated
0.9841982235924539,1,1,1,6,8,0.987719298245614,1126,6bba,1.0,12376,0,7,6bba_2312ac41,0.035648535564853555,logit_gated
0.9151847132726894,1,0,0,38,20,0.9077901430842608,571,6bba,0.9672386895475819,4691,0,7,6bba_268e1230,-0.08145682396710398,logit_gated
0.9631643662622973,1,0,0,27,18,0.953464322647363,922,6bba,0.9959432048681541,4971,0,3,6bba_2819ca14,-0.10173473075533068,logit_gated
0.6986568147970266,1,4,0,132,146,0.709508881922675,679,6bba,0.9419953596287703,44625,0,67,6bba_32db13fc,0.15295181501098049,logit_gated
0.9354221935202763,1,1,1,34,52,0.9320158102766798,1179,6bba,1.0,29366,0,63,6bba_337b1b3a,-0.036548556430446195,logit_gated
0.7930691241880469,0,1,1,92,123,0.7967863894139886,843,6bba,0.9759277833500501,54494,0,51,6bba_3abfe10a,0.04665322193412081,logit_gated
0.9840582777449121,1,0,1,6,6,0.9840425531914894,740,6bba,0.9986928104575163,6257,0,5,6bba_3c5691b6,-0.00015979546180888463,logit_gated
0.7758623323041657,1,0,0,54,67,0.7763401109057301,420,6bba,0.9721115537848606,23379,0,35,6bba_3db54e20,0.006154243415389912,logit_gated
